conversation_num,batch_num,vis_img,int_verb,ort_img,rep_man,soc_pers,team_size,difficulty,score,duration,efficiency,speaker_nickname,message,timestamp,message_lower_with_punc,num_words,num_chars,num_messages,sentiment
rHPaiuXkM3Ss4rEsW,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],586.0,107.0,5.476635514018692,oJLD2kfcwGyXkfCeH,can we get d to the highest score,2021-02-26T19:11:21.474Z,can we get d to the highest score?,8,33,1,"{'positive': 0.24371041357517242, 'negative': 0.00348281254991889, 'neutral': 0.7528067827224731}"
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,6QvNn8wdCyviKCjiv,looks good,2021-02-26T19:22:32.695Z,looks good,2,10,1,"{'positive': 0.9838806986808777, 'negative': 0.00210415106266737, 'neutral': 0.014015170745551586}"
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,6qP7EcqvYQL4gmrAX,i like it,2021-02-26T19:23:14.467Z,i like it,3,9,1,"{'positive': 0.9772154688835144, 'negative': 0.0019835943821817636, 'neutral': 0.020800959318876266}"
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,NMkPLqERKzTTMqw5Y,it looks good to me,2021-02-26T19:23:20.650Z,it looks good to me,5,19,1,"{'positive': 0.9840987324714661, 'negative': 0.0015203517396003008, 'neutral': 0.014380913227796555}"
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,6QvNn8wdCyviKCjiv,stop changing it,2021-02-26T19:23:52.111Z,stop changing it,3,16,1,"{'positive': 0.00960574485361576, 'negative': 0.826199471950531, 'neutral': 0.1641947478055954}"
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,WehwSkzFdpbNKjFMD,i made it higher stop you made it lower,2021-02-26T19:24:39.311Z,i made it higher stop you made it lower,9,39,1,"{'positive': 0.06732591241598129, 'negative': 0.0474359430372715, 'neutral': 0.8852381706237793}"
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,WehwSkzFdpbNKjFMD,look now they are all over 50,2021-02-26T19:25:27.770Z,"look, now they are all over 50",7,29,1,"{'positive': 0.015299498103559017, 'negative': 0.13652761280536652, 'neutral': 0.8481729030609131}"
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,6qP7EcqvYQL4gmrAX,but they are breaking a rule,2021-02-26T19:25:50.170Z,but they are breaking a rule,6,28,1,"{'positive': 0.003294895403087139, 'negative': 0.925203263759613, 'neutral': 0.07150188833475113}"
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,WehwSkzFdpbNKjFMD,pay attention to the numbers if you care about  please,2021-02-26T19:25:52.373Z,"pay attention to the numbers if you care about $, please",10,54,1,"{'positive': 0.04451851174235344, 'negative': 0.03351053223013878, 'neutral': 0.9219709634780884}"
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,NMkPLqERKzTTMqw5Y,yes we have to take into account two broken rules 200,2021-02-26T19:26:14.885Z,"yes, we have to take into account two broken rules =-200",11,53,1,"{'positive': 0.003749844618141651, 'negative': 0.7941367626190186, 'neutral': 0.20211346447467804}"
